,objectId,srcObject,regionKey,objectType,objectCn,objectCon,subjectId,regionId,settlementId,street,house,addressNotes,okato,apartment,nobjectCn,nobjectCon
103,77:5:6004:10228,1,177,002009000000,77:05:0006004:10228,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 15",,15,77:5:6004:10228,
104,77:5:6004:10236,1,177,002009000000,77:05:0006004:10236,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 150",,150,77:5:6004:10236,
105,177_12398995301,2,177,002002002000,77:05:0006004:10236,1-2937806,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 150",,150,77:5:6004:10236,1-2937806
106,77:5:6004:10237,1,177,002009000000,77:05:0006004:10237,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 151",,151,77:5:6004:10237,
107,177_1070180382001,2,177,002002002000,77:05:0006004:10237,77-77/001-77/005/252/2015-314,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.151",,151,77:5:6004:10237,77-77/1-77/5/252/2015-314
108,77:5:6004:10266,1,177,002009000000,77:05:0006004:10266,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 152",,152,77:5:6004:10266,
109,177_441079998001,2,177,002002002000,77:05:0006004:10266,77-77-05/013/2013-3,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул Кировоградская, д 5, кв 152",,152,77:5:6004:10266,77-77-5/13/2013-3
110,77:5:6004:10267,1,177,002009000000,77:05:0006004:10267,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 153",,153,77:5:6004:10267,
111,177_367283301,2,177,002002002000,77:05:0006004:10267,77-77-11/078/2007-696,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 153",,153,77:5:6004:10267,77-77-11/78/2007-696
112,77:5:6004:10268,1,177,002009000000,77:05:0006004:10268,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 154",,154,77:5:6004:10268,
113,177_367284301,2,177,002002002000,77:05:0006004:10268,77-77-05/015/2006-248,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 154",,154,77:5:6004:10268,77-77-5/15/2006-248
